date,inflation,total population,ferti_cosption,Agri_land,forest,land area,renew_e_c,acc_t_elect,c_corruption,tax_rev,gdp_per_cap
2024,12.6325318530452,251269164.0,156.55876585672453,362804.262295082,,,,,,,1484.74985864775
2023,30.7681280657005,247504495.0,156.55876585672453,362804.262295082,,,,95.6,-0.999357461929321,,1365.16927410976
2022,19.8738599646655,243700667.0,107.061655282636,362804.262295082,36432.2,770880.0,,95.0,-0.80435037612915,,1538.3228133171
2021,9.49621056124947,239477801.0,122.732383729851,363030.0,36845.6,770880.0,41.6,94.9,-0.810481548309326,,1455.31922370186
2020,9.73999313898155,235001746.0,121.145921159491,367230.0,37259.0,770880.0,42.7,94.5,-0.857438266277313,,1278.39735206896
2019,10.5783618004555,230800899.0,124.448134116457,363230.0,37672.4,770880.0,45.9,93.9,-0.879992425441742,,1390.41690981745
2018,5.07805725868917,226928892.0,131.631586687149,369530.0,38085.8,770880.0,43.4,93.4,-0.801856637001038,,1569.33814626355
2017,4.08537368032608,223273967.0,131.631586687149,370030.0,38499.2,770880.0,42.1,92.7,-0.8026123046875,,1519.23459514248
2016,3.7651191635658,220138869.0,119.082303557424,367940.0,38682.4,770880.0,43.7,91.8,-0.90090936422348,,1424.69161195897
2015,2.52932817254229,217290883.0,119.90701555154,362020.0,39326.0,770880.0,45.9,91.0,-0.834522724151611,,1380.47020838317
2014,7.18938402847028,214264647.0,132.726246297047,362520.0,39648.26,770880.0,47.2,90.1,-0.83929455280304,,1266.61340849959
2013,7.69215611899565,211073978.0,141.21382488133,362800.0,39970.52,770880.0,48.1,89.3,-0.962785661220551,,1225.4340119198
2012,9.68235186055684,207667125.0,134.233940512572,360630.0,40292.78,770880.0,47.2,88.6,-1.06879222393036,,1204.36475491585
2011,11.9160927116277,203746065.0,126.213899168728,359360.0,40615.04,770880.0,46.8,87.8,-1.08339202404022,,1131.73513834324
2010,12.9388705634889,199239047.0,129.851730860829,352420.0,40937.3,770880.0,47.4,87.1,-1.08961069583893,,987.304571124485
2009,13.6477650639761,194376534.0,143.176325753552,352770.0,41354.83,770880.0,46.4,82.5,-1.07562577724457,,963.788066395225
2008,20.2861210929554,189499113.0,121.657676541249,353130.0,41772.36,770880.0,46.6,81.4,-0.899149179458618,,1067.04324565284
2007,7.59868441050774,184493231.0,130.057379202732,360130.0,42189.89,770880.0,44.9,80.2,-0.818873345851898,,998.090114197524
2006,7.92108440058789,179682690.0,136.231772705766,361350.0,42607.42,770880.0,47.0,79.1,-0.818344295024872,,900.873564984808
2005,9.06332737030417,175453212.0,133.831467366353,359650.0,43024.95,770880.0,48.0,78.1,-1.06204557418823,,827.619861189926
2004,7.44462469342739,171286000.0,129.674557492732,360450.0,43442.48,770880.0,47.9,77.0,-1.17881202697754,,771.902247348954
2003,2.91413470059479,167110248.0,130.305346133015,368420.0,43860.01,770880.0,50.1,76.0,-0.804457187652588,,672.44178669894
2002,3.29034472613153,163222549.0,131.929127052723,368840.0,44277.54,770880.0,51.4,74.9,-0.955985903739929,,599.937345723927
2001,3.14826144590618,159270907.0,130.403107229535,369720.0,44695.07,770880.0,51.5,73.9,,,609.939506905073
2000,4.36666451291681,154879127.0,128.93889275766,366980.0,45112.6,770880.0,51.0,72.8,-0.894909560680389,7.49968677287633,642.338346499898
1999,4.14263718082171,150565377.0,125.204401820834,367560.0,45588.13,770880.0,50.2,70.2653503417969,,13.1653200625243,418.249257055367
1998,6.22800415424543,146522356.0,136.700763398446,367600.0,46063.66,770880.0,51.6,70.46,-1.08091521263123,12.8290938044319,424.453697798497
1997,11.3754928865122,142531804.0,153.898691938608,366690.0,46539.19,770880.0,51.9,,,12.742472960641,438.030942680153
1996,10.3738085885002,138557092.0,136.939242259148,361720.0,47014.72,770880.0,52.2,,-1.22003042697906,,456.996961832943
1995,12.3435785170513,134582253.0,140.820233218163,360260.0,47490.25,770880.0,53.1,,,,450.550279346206
1994,12.3681943936948,130748083.0,127.776464392299,357900.0,47965.78,770880.0,54.2,,,,399.955927561352
1993,9.97366476029209,127020117.0,129.413828503981,357500.0,48441.31,770880.0,54.1,,,,407.888140688466
1992,9.5090414619015,123546848.0,161.247132269921,353800.0,48916.84,770880.0,56.0,,,,395.67720859593
1991,11.7912703351416,120060406.0,162.031772841298,352700.0,49392.37,770880.0,58.1,,,,380.019843346229
1990,9.05213155279776,116155576.0,154.593417219506,352060.0,49867.9,770880.0,57.5,,,,344.45547384189
1989,7.84426473740044,112336629.0,149.839745495394,358600.0,,770880.0,,,,13.7080461711346,357.595796105007
1988,8.83793701817773,108724739.0,143.388194367161,353470.0,,770880.0,,,,13.1712242870405,353.85454278549
1987,4.68121854620213,105130717.0,143.90607706613,366710.0,,770880.0,,,,,317.23867416111
1986,3.50641424758205,101606764.0,147.08705507031,355710.0,,770880.0,,,,13.4730201425762,313.946324043906
1985,5.61483921793224,98229285.0,128.154224134349,371180.0,,770880.0,,,,12.3295852862501,317.063499386432
1984,6.08716673573716,95164936.0,112.090029565552,375000.0,,770880.0,,,,13.2683979590378,327.345625152291
1983,6.362033499853,92227711.0,108.850698135173,364090.0,,770880.0,,,,12.7883266966165,311.098361356703
1982,5.90352878435863,89089246.0,127.760003614156,385090.0,,770880.0,,,,12.6786546108546,344.889792466995
1981,11.8799135925283,85802049.0,138.097789736592,365040.0,,770880.0,,,,13.5343426936405,327.505069961745
1980,11.9382309107087,82291010.0,169.325492041088,374160.0,,770880.0,,,,13.3500441969604,287.448707270022
1979,8.26704697617572,78997039.0,219.967490116594,363370.0,,770880.0,,,,12.2838160223687,249.229389957057
1978,6.13869266742743,76307379.0,241.767059444249,364170.0,,770880.0,,,,11.5417333015754,233.41799161409
1977,10.1329676874055,73901827.0,220.947498783125,359130.0,,770880.0,,,,11.0218500414029,204.677762649367
1976,7.15832373118465,71620254.0,194.832449648481,357120.0,,770880.0,,,,11.0329538829738,183.859733422347
1975,20.9045094573998,69461175.0,169.331967714321,360350.0,,770880.0,,,,10.9477168272128,161.681774899518
1974,26.6630348537488,67415487.0,130.621241377617,357400.0,,770880.0,,,,11.706885201244,132.005156607293
1973,23.0700840250844,65461912.0,133.073803945155,364000.0,,770880.0,,,,10.3019617139809,97.5136425928243
1972,5.18323764549138,63583194.0,155.169532208453,355050.0,,770880.0,,,,,148.073976270617
1971,4.73069148232272,61847899.0,173.16485997579,354850.0,,770880.0,,,,,172.453662202274
1970,5.34984090983017,60166719.0,212.398659036876,358650.0,,770880.0,,,,,166.662061958389
1969,3.18698679573686,58460939.0,230.02474340861,357000.0,,770880.0,,,,,148.528512990071
1968,0.170627348438101,56810507.0,461.053841659914,371700.0,,770880.0,,,,,141.558306459346
1967,6.81139963428688,55214768.0,361.258133667217,374700.0,,770880.0,,,,,135.190474942968
1966,7.22762159787735,53678667.0,212.269146815982,374150.0,,770880.0,,,,,122.229353754713
1965,5.56863547936375,52209010.0,145.124562487132,372350.0,,770880.0,,,,,113.567206414596
1964,4.17958688145319,50799999.0,171.698113207547,363550.0,,770880.0,,,,,102.45976384531
1963,1.45648844797496,49447776.0,146.856306752163,358800.0,,770880.0,,,,,93.6508728613463
1962,-0.5164622336985,48156128.0,97.1856793835745,358400.0,,770880.0,,,,,89.5039525753413
1961,1.64041994750609,46921277.0,274.687255668491,357300.0,,770880.0,,,,,87.7778246966181
1960,6.94736842105289,45709310.0,156.55876585672453,362804.262295082,,,,,,,82.0241000071912
